query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Cameron Archer,Cameron Archer,1,Cameron Archer,Cameron Archer | Daniel Maldini | Nicolás González | Jacob Murphy | Marcus Rashford,"Cameron Archer is a ENG football player who plays for Southampton as a forward (FW). Age: 23 Born: 2001. Attacking output: goals 2, assists 0, expected_goals 5.7, expected_assists 0.5, non_penalty_expected_goals 4.9, expected_goal_involvements 0.39. Progression: progressive_carries 22, progressive_passes 14, progressive_receptions 66. Usage: matches_played 35, starts 13, minutes_played 1441, full_match_equivalents 16.0. Discipline: yellow_cards 0, red_cards 0."
Alphonse Areola,Alphonse Areola,1,Alphonse Areola,Alphonse Areola | Łukasz Fabiański | Gauthier Gallon | Nicola Leali | Timo Horn,"Alphonse Areola is a FRA football player who plays for West Ham as a goalkeeper (GK). Age: 31 Born: 1993. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 0. Usage: matches_played 26, starts 25, minutes_played 2260, full_match_equivalents 25.1. Discipline: yellow_cards 0, red_cards 0."
Joe Aribo,Joe Aribo,1,Joe Aribo,Joe Aribo | Samuel Chukwueze | Andreas Pereira | Hicham Boudaoui | Ryoya Ogawa,"Joe Aribo is a NGA football player who plays for Southampton as a midfielder, defender (MF,DF). Age: 28 Born: 1996. Attacking output: goals 3, assists 0, expected_goals 2.7, expected_assists 1.6, non_penalty_expected_goals 2.7, expected_goal_involvements 0.19. Progression: progressive_carries 36, progressive_passes 75, progressive_receptions 65. Usage: matches_played 32, starts 21, minutes_played 2013, full_match_equivalents 22.4. Discipline: yellow_cards 1, red_cards 0."
Adam Armstrong,Adam Armstrong,1,Adam Armstrong,Adam Armstrong | Marcus Rashford | Adrian Beck | Adam Lallana | Dejan Joveljić,"Adam Armstrong is a ENG football player who plays for Southampton as a forward, midfielder (FW,MF). Age: 27 Born: 1997. Attacking output: goals 2, assists 2, expected_goals 3.3, expected_assists 1.2, non_penalty_expected_goals 2.3, expected_goal_involvements 0.32. Progression: progressive_carries 25, progressive_passes 21, progressive_receptions 79. Usage: matches_played 20, starts 15, minutes_played 1248, full_match_equivalents 13.9. Discipline: yellow_cards 4, red_cards 0."
Harrison Armstrong,Harrison Armstrong,1,Harrison Armstrong,Harrison Armstrong | Joshua King | Jack Harrison | Adrian Baquerin | João Simões,"Harrison Armstrong is a ENG football player who plays for Everton as a midfielder (MF). Age: 17 Born: 2007. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.1, non_penalty_expected_goals 0.4, expected_goal_involvements 0.82. Progression: progressive_carries 1, progressive_passes 1, progressive_receptions 0. Usage: matches_played 3, starts 0, minutes_played 48, full_match_equivalents 0.5. Discipline: yellow_cards 1, red_cards 0."
Kepa Arrizabalaga,Kepa Arrizabalaga,1,Kepa Arrizabalaga,Kepa Arrizabalaga | Đorđe Petrović | Dominik Greif | Karl Jakob Hein | Ko Itakura,"Kepa Arrizabalaga is a ESP football player who plays for Bournemouth as a goalkeeper (GK). Age: 29 Born: 1994. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.0, non_penalty_expected_goals 0.1, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 2, progressive_receptions 0. Usage: matches_played 31, starts 31, minutes_played 2790, full_match_equivalents 31.0. Discipline: yellow_cards 3, red_cards 0."
Marco Asensio,Marco Asensio,1,Marco Asensio,Marco Asensio | Marco Asensio | Ollie Watkins | Álvaro Tejero | Raniele,"Marco Asensio is a ESP football player who plays for Aston Villa as a midfielder (MF). Age: 28 Born: 1996. Attacking output: goals 3, assists 1, expected_goals 4.4, expected_assists 1.0, non_penalty_expected_goals 2.9, expected_goal_involvements 0.66. Progression: progressive_carries 22, progressive_passes 45, progressive_receptions 38. Usage: matches_played 13, starts 9, minutes_played 743, full_match_equivalents 8.3. Discipline: yellow_cards 2, red_cards 0."
Brandon Austin,Brandon Austin,1,Brandon Austin,Brandon Austin | Lautaro Morales | AJ Marcucci | Brenno | Thomas Hasal,"Brandon Austin is a ENG football player who plays for Tottenham as a goalkeeper (GK). Age: 25 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 1, minutes_played 90, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Taiwo Awoniyi,Taiwo Awoniyi,1,Taiwo Awoniyi,Taiwo Awoniyi | Jota Silva | Elliot Anderson | Ibrahim Sangaré | Nikola Milenković,"Taiwo Awoniyi is a NGA football player who plays for Nott'ham Forest as a forward (FW). Age: 26 Born: 1997. Attacking output: goals 1, assists 0, expected_goals 2.1, expected_assists 0.1, non_penalty_expected_goals 2.1, expected_goal_involvements 0.48. Progression: progressive_carries 6, progressive_passes 7, progressive_receptions 20. Usage: matches_played 26, starts 3, minutes_played 416, full_match_equivalents 4.6. Discipline: yellow_cards 0, red_cards 0."
Yasin Ayari,Yasin Ayari,1,Yasin Ayari,Yasin Ayari | Tanguy Ndombele | Tomás Conechny | Omari Hutchinson | Matías Vecino,"Yasin Ayari is a SWE football player who plays for Brighton as a midfielder (MF). Age: 20 Born: 2003. Attacking output: goals 2, assists 1, expected_goals 2.4, expected_assists 2.3, non_penalty_expected_goals 2.4, expected_goal_involvements 0.22. Progression: progressive_carries 30, progressive_passes 75, progressive_receptions 61. Usage: matches_played 34, starts 22, minutes_played 1965, full_match_equivalents 21.8. Discipline: yellow_cards 3, red_cards 0."
